
subscriber_type,duration_min
Customer,2.0
Customer,2.0
Customer,2.0
Customer,2.02
Customer,2.02
Customer,2.02
Customer,2.02
Customer,2.02
Customer,2.02
Customer,2.02
Customer,2.02
Customer,2.02
Customer,2.03
Customer,2.03
Customer,2.03
Customer,2.03
Customer,2.03
Customer,2.03
Customer,2.03
Customer,2.03
Customer,2.03
Customer,2.05
Customer,2.05
Customer,2.05
Customer,2.05
Customer,2.05
Customer,2.05
Customer,2.05
Customer,2.05
Customer,2.05
Customer,2.05
Customer,2.05
Customer,2.05
Customer,2.05
Customer,2.07
Customer,2.07
Customer,2.07
Customer,2.07
Customer,2.07
Customer,2.07
Customer,2.07
Customer,2.07
Customer,2.08
Customer,2.08
Customer,2.08
Customer,2.08
Customer,2.08
Customer,2.08
Customer,2.08
Customer,2.08
Customer,2.08
Customer,2.08
Customer,2.08
Customer,2.08
Customer,2.08
Customer,2.08
Customer,2.1
Customer,2.1
Customer,2.1
Customer,2.1
Customer,2.1
Customer,2.1
Customer,2.1
Customer,2.1
Customer,2.1
Customer,2.12
Customer,2.12
Customer,2.12
Customer,2.12
Customer,2.12
Customer,2.12
Customer,2.12
Customer,2.12
Customer,2.12
Customer,2.12
Customer,2.12
Customer,2.12
Customer,2.12
Customer,2.12
Customer,2.13
Customer,2.13
Customer,2.13
Customer,2.13
Customer,2.13
Customer,2.13
Customer,2.13
Customer,2.13
Customer,2.13
Customer,2.13
Customer,2.15
Customer,2.15
Customer,2.15
Customer,2.15
Customer,2.15
Customer,2.15
Customer,2.17
Customer,2.17
Customer,2.17
Customer,2.17
Customer,2.17
Customer,2.17
Customer,2.17
Customer,2.18
Customer,2.18
Customer,2.18
Customer,2.18
Customer,2.18
Customer,2.18
Customer,2.18
Customer,2.18
Customer,2.18
Customer,2.18
Customer,2.18
Customer,2.2
Customer,2.2
Customer,2.2
Customer,2.2
Customer,2.2
Customer,2.2
Customer,2.2
Customer,2.2
Customer,2.2
Customer,2.2
Customer,2.22
Customer,2.22
Customer,2.22
Customer,2.22
Customer,2.22
Customer,2.22
Customer,2.22
Customer,2.22
Customer,2.22
Customer,2.22
Customer,2.22
Customer,2.23
Customer,2.23
Customer,2.23
Customer,2.23
Customer,2.23
Customer,2.23
Customer,2.23
Customer,2.25
Customer,2.25
Customer,2.25
Customer,2.25
Customer,2.25
Customer,2.25
Customer,2.25
Customer,2.25
Customer,2.25
Customer,2.25
Customer,2.27
Customer,2.27
Customer,2.27
Customer,2.27
Customer,2.27
Customer,2.27
Customer,2.27
Customer,2.27
Customer,2.27
Customer,2.28
Customer,2.28
Customer,2.28
Customer,2.28
Customer,2.28
Customer,2.28
Customer,2.28
Customer,2.28
Customer,2.28
Customer,2.3
Customer,2.3
Customer,2.3
Customer,2.3
Customer,2.3
Customer,2.3
Customer,2.3
Customer,2.3
Customer,2.3
Customer,2.3
Customer,2.32
Customer,2.32
Customer,2.32
Customer,2.32
Customer,2.32
Customer,2.33
Customer,2.33
Customer,2.33
Customer,2.33
Customer,2.33
Customer,2.33
Customer,2.33
Customer,2.33
Customer,2.33
Customer,2.35
Customer,2.35
Customer,2.35
Customer,2.35
Customer,2.35
Customer,2.35
Customer,2.37
Customer,2.37
Customer,2.37
Customer,2.37
Customer,2.37
Customer,2.37
Customer,2.37
Customer,2.37
Customer,2.38
Customer,2.38
Customer,2.38
Customer,2.4
Customer,2.4
Customer,2.4
Customer,2.4
Customer,2.4
Customer,2.4
Customer,2.4
Customer,2.4
Customer,2.4
Customer,2.4
Customer,2.4
Customer,2.4
Customer,2.42
Customer,2.42
Customer,2.42
Customer,2.42
Customer,2.42
Customer,2.42
Customer,2.42
Customer,2.42
Customer,2.42
Customer,2.42
Customer,2.42
Customer,2.42
Customer,2.42
Customer,2.42
Customer,2.43
Customer,2.43
Customer,2.43
Customer,2.43
Customer,2.43
Customer,2.43
Customer,2.43
Customer,2.45
Customer,2.45
Customer,2.45
Customer,2.45
Customer,2.45
Customer,2.45
Customer,2.45
Customer,2.45
Customer,2.45
Customer,2.45
Customer,2.45
Customer,2.47
Customer,2.47
Customer,2.47
Customer,2.47
Customer,2.47
Customer,2.47
Customer,2.48
Customer,2.48
Customer,2.48
Customer,2.48
Customer,2.48
Customer,2.48
Customer,2.48
Customer,2.48
Customer,2.48
Customer,2.48
Customer,2.48
Customer,2.5
Customer,2.5
Customer,2.5
Customer,2.5
Customer,2.5
Customer,2.5
Customer,2.5
Customer,2.5
Customer,2.5
Customer,2.5
Customer,2.5
Customer,2.5
Customer,2.5
Customer,2.5
Customer,2.5
Customer,2.52
Customer,2.52
Customer,2.52
Customer,2.52
Customer,2.52
Customer,2.52
Customer,2.52
Customer,2.52
Customer,2.52
Customer,2.52
Customer,2.52
Customer,2.52
Customer,2.52
Customer,2.52
Customer,2.52
Customer,2.53
Customer,2.53
Customer,2.53
Customer,2.53
Customer,2.53
Customer,2.53
Customer,2.53
Customer,2.53
Customer,2.53
Customer,2.53
Customer,2.53
Customer,2.55
Customer,2.55
Customer,2.55
Customer,2.55
Customer,2.55
Customer,2.55
Customer,2.55
Customer,2.55
Customer,2.57
Customer,2.57
Customer,2.57
Customer,2.57
Customer,2.57
Customer,2.57
Customer,2.57
Customer,2.57
Customer,2.57
Customer,2.57
Customer,2.57
Customer,2.57
Customer,2.57
Customer,2.57
Customer,2.57
Customer,2.58
Customer,2.58
Customer,2.58
Customer,2.58
Customer,2.58
Customer,2.58
Customer,2.58
Customer,2.58
Customer,2.58
Customer,2.58
Customer,2.58
Customer,2.6
Customer,2.6
Customer,2.6
Customer,2.6
Customer,2.6
Customer,2.6
Customer,2.6
Customer,2.6
Customer,2.6
Customer,2.6
Customer,2.6
Customer,2.6
Customer,2.6
Customer,2.6
Customer,2.6
Customer,2.6
Customer,2.6
Customer,2.62
Customer,2.62
Customer,2.62
Customer,2.62
Customer,2.62
Customer,2.62
Customer,2.62
Customer,2.62
Customer,2.62
Customer,2.62
Customer,2.62
Customer,2.62
Customer,2.62
Customer,2.62
Customer,2.62
Customer,2.62
Customer,2.62
Customer,2.63
Customer,2.63
Customer,2.63
Customer,2.63
Customer,2.63
Customer,2.63
Customer,2.63
Customer,2.63
Customer,2.63
Customer,2.63
Customer,2.63
Customer,2.63
Customer,2.63
Customer,2.63
Customer,2.63
Customer,2.65
Customer,2.65
Customer,2.65
Customer,2.65
Customer,2.65
Customer,2.65
Customer,2.65
Customer,2.65
Customer,2.65
Customer,2.65
Customer,2.65
Customer,2.65
Customer,2.65
Customer,2.67
Customer,2.67
Customer,2.67
Customer,2.67
Customer,2.67
Customer,2.67
Customer,2.67
Customer,2.67
Customer,2.67
Customer,2.67
Customer,2.67
Customer,2.68
Customer,2.68
Customer,2.68
Customer,2.68
Customer,2.68
Customer,2.68
Customer,2.68
Customer,2.68
Customer,2.68
Customer,2.68
Customer,2.68
Customer,2.68
Customer,2.68
Customer,2.68
Customer,2.68
Customer,2.68
Customer,2.7
Customer,2.7
Customer,2.7
Customer,2.7
Customer,2.7
Customer,2.7
Customer,2.7
Customer,2.7
Customer,2.7
Customer,2.7
Customer,2.7
Customer,2.7
Customer,2.7
Customer,2.7
Customer,2.7
Customer,2.7
Customer,2.7
Customer,2.7
Customer,2.72
Customer,2.72
Customer,2.72
Customer,2.72
Customer,2.72
Customer,2.72
Customer,2.72
Customer,2.72
Customer,2.72
Customer,2.72
Customer,2.72
Customer,2.72
Customer,2.72
Customer,2.72
Customer,2.73
Customer,2.73
Customer,2.73
Customer,2.73
Customer,2.73
Customer,2.73
Customer,2.73
Customer,2.73
Customer,2.73
Customer,2.73
Customer,2.73
Customer,2.73
Customer,2.75
Customer,2.75
Customer,2.75
Customer,2.75
Customer,2.75
Customer,2.75
Customer,2.75
Customer,2.75
Customer,2.75
Customer,2.75
Customer,2.75
Customer,2.75
Customer,2.77
Customer,2.77
Customer,2.77
Customer,2.77
Customer,2.77
Customer,2.77
Customer,2.77
Customer,2.77
Customer,2.77
Customer,2.77
Customer,2.77
Customer,2.77
Customer,2.78
Customer,2.78
Customer,2.78
Customer,2.78
Customer,2.78
Customer,2.78
Customer,2.78
Customer,2.78
Customer,2.78
Customer,2.78
Customer,2.8
Customer,2.8
Customer,2.8
Customer,2.8
Customer,2.8
Customer,2.8
Customer,2.8
Customer,2.8
Customer,2.8
Customer,2.8
Customer,2.8
Customer,2.8
Customer,2.82
Customer,2.82
Customer,2.82
Customer,2.82
Customer,2.82
Customer,2.82
Customer,2.82
Customer,2.82
Customer,2.82
Customer,2.82
Customer,2.82
Customer,2.82
Customer,2.82
Customer,2.82
Customer,2.82
Customer,2.82
Customer,2.83
Customer,2.83
Customer,2.83
Customer,2.83
Customer,2.83
Customer,2.83
Customer,2.83
Customer,2.83
Customer,2.83
Customer,2.83
Customer,2.83
Customer,2.83
Customer,2.83
Customer,2.83
Customer,2.83
Customer,2.83
Customer,2.83
Customer,2.83
Customer,2.85
Customer,2.85
Customer,2.85
Customer,2.85
Customer,2.85
Customer,2.85
Customer,2.85
Customer,2.85
Customer,2.85
Customer,2.85
Customer,2.85
Customer,2.85
Customer,2.85
Customer,2.85
Customer,2.87
Customer,2.87
Customer,2.87
Customer,2.87
Customer,2.87
Customer,2.87
Customer,2.87
Customer,2.87
Customer,2.87
Customer,2.87
Customer,2.88
Customer,2.88
Customer,2.88
Customer,2.88
Customer,2.88
Customer,2.88
Customer,2.88
Customer,2.88
Customer,2.88
Customer,2.88
Customer,2.88
Customer,2.88
Customer,2.88
Customer,2.9
Customer,2.9
Customer,2.9
Customer,2.9
Customer,2.9
Customer,2.9
Customer,2.9
Customer,2.9
Customer,2.9
Customer,2.9
Customer,2.9
Customer,2.9
Customer,2.9
Customer,2.9
Customer,2.9
Customer,2.9
Customer,2.92
Customer,2.92
Customer,2.92
Customer,2.92
Customer,2.92
Customer,2.92
Customer,2.92
Customer,2.92
Customer,2.92
Customer,2.92
Customer,2.92
Customer,2.92
Customer,2.92
Customer,2.92
Customer,2.92
Customer,2.92
Customer,2.92
Customer,2.93
Customer,2.93
Customer,2.93
Customer,2.93
Customer,2.93
Customer,2.93
Customer,2.93
Customer,2.93
Customer,2.93
Customer,2.93
Customer,2.93
Customer,2.93
Customer,2.95
Customer,2.95
Customer,2.95
Customer,2.95
Customer,2.95
Customer,2.95
Customer,2.95
Customer,2.95
Customer,2.95
Customer,2.95
Customer,2.95
Customer,2.95
Customer,2.95
Customer,2.95
Customer,2.95
Customer,2.95
Customer,2.95
Customer,2.95
